user_index,user_total_rows,utility_popularity,coherence,history_length_mean,v1_ndcg10,core_ndcg10,delta_ndcg10,v1_hit10,core_hit10,delta_hit10,v1_rank,core_rank,delta_rank,utility_bucket
6732,4,0.5624999813735485,0.8794547766447067,10.0,0.0,0.0,0.0,0.0,0.0,0.0,931.75,2283.0,1351.25,Q2
6733,4,0.6749999932944775,0.8872063010931015,10.0,0.0,0.0,0.0,0.0,0.0,0.0,461.25,292.0,-169.25,Q3
6734,4,0.5449999868869781,0.902622401714325,10.0,0.0,0.0,0.0,0.0,0.0,0.0,193.5,174.75,-18.75,Q2
6735,4,0.7624999731779099,0.8851204663515091,10.0,0.0,0.0,0.0,0.0,0.0,0.0,758.5,1013.0,254.5,Q4
6736,4,0.4699999876320362,0.8911484032869339,10.0,0.0,0.0833333358168602,-0.0833333358168602,0.0,0.25,-0.25,271.0,441.75,170.75,Q2
6737,4,0.857499971985817,0.8935110718011856,10.0,0.08905179798603058,0.0,0.08905179798603058,0.25,0.0,0.25,256.5,503.75,247.25,Q4
6738,4,0.4987499937415123,0.8858423233032227,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1766.0,534.5,-1231.5,Q2
6739,4,0.6887499988079071,0.9036819338798523,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1253.75,1703.0,449.25,Q3
6740,4,0.5674999840557575,0.8802986592054367,10.0,0.0,0.0,0.0,0.0,0.0,0.0,160.25,104.75,-55.5,Q2
6741,4,0.3049999959766865,0.8930672258138657,10.0,0.0,0.09671320766210556,-0.09671320766210556,0.0,0.25,-0.25,963.25,471.5,-491.75,Q1
6742,4,0.5899999737739563,0.8889142721891403,10.0,0.0833333358168602,0.0,0.0833333358168602,0.25,0.0,0.25,736.0,253.5,-482.5,Q3
6743,4,0.41624999046325684,0.8825152814388275,10.0,0.0,0.0,0.0,0.0,0.0,0.0,297.75,177.5,-120.25,Q1
6744,4,0.641249991953373,0.8867217153310776,10.0,0.07525750249624252,0.0,0.07525750249624252,0.25,0.0,0.25,916.75,1154.75,238.0,Q3
6745,4,0.7399999797344208,0.8905065655708313,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1355.25,1195.0,-160.25,Q4
6746,4,0.46749999560415745,0.8801022320985794,10.0,0.0,0.0,0.0,0.0,0.0,0.0,328.5,961.25,632.75,Q2
6747,4,0.4374999925494194,0.8720699548721313,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1850.0,2402.25,552.25,Q1
6748,4,0.646249994635582,0.8841922730207443,10.0,0.0,0.0,0.0,0.0,0.0,0.0,758.5,601.5,-157.0,Q3
6749,4,0.6337499907240272,0.8735946863889694,10.0,0.0,0.0833333358168602,-0.0833333358168602,0.0,0.25,-0.25,95.25,52.75,-42.5,Q3
6750,4,0.5862499848008156,0.8884816914796829,10.0,0.07525750249624252,0.1910024806857109,-0.11574497818946838,0.25,0.5,-0.25,2324.5,672.0,-1652.5,Q3
6751,4,0.18374999519437551,0.881301149725914,10.0,0.0,0.0,0.0,0.0,0.0,0.0,334.5,516.75,182.25,Q1
6752,4,0.5899999961256981,0.8847899585962296,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3158.5,2515.0,-643.5,Q3
6753,4,0.7037499733269215,0.8936367034912109,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3546.25,3369.25,-177.0,Q4
6754,4,0.5099999727681279,0.8774205148220062,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2432.75,2363.75,-69.0,Q2
6755,4,0.4737499728798866,0.88950614631176,10.0,0.20386622101068497,0.25,-0.04613377898931503,0.5,0.5,0.0,131.0,109.5,-21.5,Q2
6756,4,0.342499990016222,0.8719082325696945,10.0,0.125,0.0,0.125,0.25,0.0,0.25,128.75,90.5,-38.25,Q1
6757,4,0.667499978095293,0.9017189741134644,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2151.5,904.5,-1247.0,Q3
6758,4,0.6537499949336052,0.8850147575139999,10.0,0.0,0.0,0.0,0.0,0.0,0.0,715.0,939.75,224.75,Q3
6759,4,0.2649999922141433,0.886094331741333,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1543.5,935.5,-608.0,Q1
6760,4,0.5899999849498272,0.8795647621154785,10.0,0.0,0.0,0.0,0.0,0.0,0.0,229.25,466.25,237.0,Q3
6761,4,0.7899999842047691,0.8868019431829453,10.0,0.0,0.0,0.0,0.0,0.0,0.0,467.0,770.5,303.5,Q4
6762,4,0.5624999888241291,0.8864769488573074,10.0,0.0,0.0,0.0,0.0,0.0,0.0,385.75,186.75,-199.0,Q2
6763,4,0.7574999928474426,0.8944157958030701,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2969.25,1611.25,-1358.0,Q4
6764,4,0.43999999575316906,0.8882043808698654,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1615.0,1254.75,-360.25,Q1
6765,4,0.8424999862909317,0.8980449140071869,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3210.25,3431.75,221.5,Q4
6766,4,0.39249998331069946,0.8826269209384918,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1046.75,881.0,-165.75,Q1
6767,4,0.8774999678134918,0.8872957825660706,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1259.0,748.25,-510.75,Q4
6768,4,0.404999990016222,0.8848795592784882,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1239.75,942.5,-297.25,Q1
6769,4,0.48499999567866325,0.8873063027858734,10.0,0.0,0.0,0.0,0.0,0.0,0.0,349.0,439.25,90.25,Q2
6770,4,0.9024999737739563,0.889008954167366,10.0,0.125,0.07525750249624252,0.04974249750375748,0.25,0.25,0.0,1188.75,1377.5,188.75,Q4
